Japanese,English,Correct,Incorrect,LastAsked
よろしければ、他の店をご案内いたします。,"If you’d like,I could recommend another one.",0,0,2025-01-22 23:31:44.000000
お求めの指輪がその店にあるか確認しましょう。,Let’s make sure they have the ring you want.,0,0,2025-01-22 23:31:44.000000
あなたは今日食堂で食べますか？,Are you eating at the cafeteria today?,0,0,2025-01-22 23:31:44.000000
あなた（たち）とご一緒しても良いですか,Can I join you?,0,0,2025-01-22 23:31:44.000000
決められません,I can’t decide,0,0,2025-01-22 23:31:44.000000
何に使うのですか？,What are you going to use it for?,0,0,2025-01-22 23:31:44.000000
キャベツが済んだら、豆腐を切ってくれますか,Could you cut the tofu after you finish with the cabbage?,0,0,2025-01-22 23:31:44.000000
ごはんの用意ができたよ,The food is ready.,0,0,2025-01-22 23:31:44.000000
夕食の用意ができたよ,The dinner is ready.,0,0,2025-01-22 23:31:44.000000
気にしないで,Never mind.,0,0,2025-01-22 23:31:44.000000
私は構いませんよ,I don’t mind.,0,0,2025-01-22 23:31:44.000000
いつでも遠慮なくメールしてください。,Please feel free to email anytime.,0,0,2025-01-23 23:31:44.000000
きっとお似合いになりますよ。,I bet it would look good on you.,0,0,2025-01-23 23:31:44.000000
ご自由にどうぞ。,Be my guest.,0,0,2025-01-23 23:31:44.000000
もう少し見て（回って）からにします。,I’m going to look around a bit more first.,0,0,2025-01-23 23:31:44.000000
想像より（価格の）0の数が一つ多かった。,There was one more zero than I expected.,0,0,2025-01-23 23:31:44.000000
きっといつか私も買う余裕ができるようになると思うけど、今じゃない。,"Maybe one day I’ll be able to afford it ,but not right now.",0,0,2025-01-23 23:31:44.000000
AFAIKはAs Far As I knowの略です。,AFAIK stands for As Far As I know.,0,0,2025-01-23 23:31:44.000000
ソーホーはなにの略かしっていますか？,Do you know what SoHo stands for?,0,0,2025-01-23 23:31:44.000000
入りたい店があったら言ってください。,Let me know If you want to go into any of them.,0,0,2025-01-23 23:31:44.000000
どの店も個性的なのが面白い,Interesting how all the shops have their own character.,0,0,2025-01-23 23:31:44.000000
行ってみよう（調べてみましょう）,Let’s check it out.,0,0,2025-01-23 23:31:44.000000
気分添加員になるでしょう,It would be a change of pace.,0,0,2025-01-23 23:31:44.000000
私はその日休みです。,I’m off that day.,0,0,2025-01-23 23:31:44.000000
私は今月23日に行く予定です。,I’m planning on going on the 23rd of this month.,0,0,2025-01-23 23:31:44.000000
職場から近いのに、この辺りを歩いたことがなかった。,"Even though it’s close to my work,I’ve never walked around here.",0,0,2025-01-25 12:31:44.000000
それはもったいない。,That’s a shame.,0,0,2025-01-25 12:31:44.000000
ここはピクニックや日光浴に最適です。,This is a great place for a picnic or sunbathing.,0,0,2025-01-25 12:31:44.000000
私もジョギングを始めようかな,Maybe I should start jogging.,0,0,2025-01-25 12:31:44.000000
どうして？,Why not?,0,0,2025-01-25 12:31:44.000000
私達のアパートがどこにあるか考えてください。,Think about where out apartment is.,0,0,2025-01-25 12:31:44.000000
あなたは寝坊しがちだから、うまくいかないだろう。,That wouldn’t work since you usually get up so late.,0,0,2025-01-25 12:31:44.000000
ちょっとお腹が空いてきた。,I’m getting a bit hungry.,0,0,2025-01-25 12:31:44.000000
試食会まで、まだちょっと時間が有ります。,We still have some time before the food tasting.,0,0,2025-01-25 12:31:44.000000
後で私に感謝するさ,You’ll thank me later.,0,0,2025-01-25 12:31:44.000000
「こんなに美味しい料理が待っていたのに、ホットドッグなんか食べなきゃよかった」と言わずに済む。,You won’t have to say “why did I have that hot dog when such good food waiting for me!”.,0,0,2025-01-25 12:31:44.000000
芝生の上に寝転がると気持ちいい。,it feels so good to  roll around on the grass.,0,0,2025-01-25 12:31:44.000000
